"Var1","Freq"
"Si te vas",1
"Síguelo Bailando",1
"SLIDE",1
"Småtjejer",1
"Snæfinnur snjókarl",1
"Snjókorn falla",1
"Só Pra Castigar",1
"Só Você",1
"Sofazinho - Ao Vivo",1
"Solo",1
"Solteiro Nunca Está Só",1
"Somos - Operación Triunfo 2018",1
"Space Cadet (feat. Gunna)",1
"SPARARE ALLA LUNA (feat. Coez)",1
"Speechless (feat. Erika Sirola)",1
"Spiegel",1
"STAI ZITTO (feat. Fabri Fibra)",1
"Stand By You",1
"Stars",1
"Status Que Eu Não Queria - Ao Vivo",1
"Story",1
"Suave (Remix)",1
"Sucette (feat. Niska)",1
"Suena El Dembow",1
"Summer Games",1
"Suomen muotoisen pilven alla",1
"Sur le drapeau",1
"Sürgün Aşkımız",1
"Survival",1
"Suspus",1
"Sverige Vet",1
"Symphony (feat. Zara Larsson)",1
"Ta Plats",1
"Ta reine",1
"Tagpuan",1
"Talk Up",1
"Tamam Tamam",1
"Tänd ett ljus",1
"Tappat",1
"Tatuaże z henny",1
"Te echo de menos",1
"Te Gusta Hacerla",1
"Te Soñe",1
"TELÉFONO",1
"TELÉFONO - Remix",1
"Teman Bahagia",1
"Tentang Rindu",1
"Tesla (feat. Sfera Ebbasta & DrefGold)",1
"TGV",1
"Thang Dien",1
"Thanh Xuan",1
"The Mantra (with Pharrell & Kendrick Lamar)",1
"The Scientist - Operación Triunfo 2018",1
"The Waters",1
"Them Changes",1
"Thick And Thin",1
"Thru These Tears",1
"Thunder",1
"Tiễn Khách",1
"Timer Tot Tien",1
"Tinka",1
"tmt",1
"Toivon",1
"Too Good At Goodbyes",1
"Too Proud (feat. XZT, Suboi & EK) - L1 Remix",1
"Topanga",1
"Torna a casa",1
"Toy Story",1
"Train de vie",1
"TRAP CARD",1
"Trap Phone (feat. Capo Plaza)",1
"Traube Minze",1
"Trofea",1
"Trouble",1
"Tutto tua madre",1
"Tyhjää (feat. Jenna Alexa)",1
"U.S.A.",1
"UFO",1
"Un domani (feat. Mr.Rain)",1
"Un Veneno",1
"Una Lady Como Tú",1
"Unica",1
"Untuk Perempuan Yang Sedang Di Pelukan",1
"Unutturmam",1
"Unuturum Elbet",1
"Upp Til Hópa",1
"Usted",1
"Uuh (feat. Branco & Kesi)",1
"Uyan",1
"Valoo",1
"Vangaveltur (feat. XGEIR)",1
"Veist Af Mér",1
"Venom - Music From The Motion Picture",1
"Vertigini",1
"Vibes",1
"Vingança - Ao Vivo",1
"Voorbij",1
"VRUM VRUM",1
"Vuracak",1
"VVS",1
"Waiting",1
"Way Back Home",1
"Weak",1
"Weź nie pytaj",1
"Whenever (feat. Conor Maynard)",1
"Wherever you are",1
"Wiking",1
"wine slow - Remix",1
"X - Remix",1
"XTC",1
"Yak Yak Yak",1
"Yanlış",1
"Yaramızda Kalsın",1
"Yes Indeed",1
"You Give Me Something",1
"You Know I'm No Good",1
"Z NULY NA STO",1
"Zé da Recaída - Ao Vivo",1
"Zemes stunda",1
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",1
"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",1
"Zum Zum",1
"Þú komst með jólin til mín",1
"Мокрые кроссы",1
"אוהבת אותי אמיתי",1
"ברגעים שאת הולכת",1
"יש ימים",1
"לשוב הביתה",1
"מאושרת בלעדיי",1
"מתפוצץ לי הראש",1
"צבעים",1
"קירות",1
"רחוק מכולם",1
"שיכורים",1
"שני משוגעים",1
"ครึ่งๆ กลางๆ",1
"ความเงียบดังที่สุด",1
"ความรักกำลังก่อตัว",1
"ความหมาย (เพลงประกอบละคร พรหมไม่ได้ลิขิต)",1
"คำตอบ",1
"งู้ยยยยยยยยยยย",1
"จริงๆแล้ว",1
"เจ็บน้อยที่สุด",1
"ช้ำคือเรา - Version สมอารมณ์",1
"ซ่อนกลิ่น",1
"ดูดี",1
"ติดตลก",1
"นอกจากชื่อฉัน",1
"นอนได้แล้ว",1
"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)",1
"เป็นไรไหม?",1
"เป็นอดีต",1
"พูดไม่ออก",1
"แพ้ทุกที (LOOPER)",1
"ภาพจำ",1
"ภูเขาบังเส้นผม feat. TWOPEE",1
"มีผลต่อหัวใจ",1
"ไม่อยู่ในชีวิตแต่อยู่ในหัวใจ",1
"ยอม...ปล่อย",1
"ยิ้มก็พอ feat. Wonderframe",1
"ลาลาลอย (100%)",1
"ลืมกันแล้วหรือยัง",1
"สุดท้ายก็หมา (feat. เด็กเลี้ยงควาย)",1
"เสือสิ้นลาย",1
"หนึ่งคืน",1
"หมอกร้าย",1
"อาวรณ์",1
"アルペジオ",1
"キセキ",1
"どんなときも。",1
"ハナミズキ",1
"まっしろ",1
"マリーゴールド",1
"ワタリドリ",1
"一個女人和浴室",1
"今夜このまま",1
"倒數",1
"傷害",1
"別𠱁我",1
"勇悍‧17",1
"君はロックを聴かない",1
"在青春迷失的咖啡館",1
"如果雨之後",1
"小さな恋のうた",1
"年少有為",1
"幾分之幾 - 電影<花甲大人轉男孩>主題曲",1
"後來的我們",1
"恋音と雨空",1
"愛をこめて花束を",1
"愛を伝えたいだとか",1
"愛唄",1
"慢慢喜歡你",1
"我們 - 《後來的我們》電影主題曲",1
"我還年輕 我還年輕",1
"打上花火",1
"教我這麼愛下去",1
"新宝島",1
"春秋",1
"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",1
"殘缺的彩虹",1
"永遠飛行模式",1
"浪子回頭",1
"浪流連",1
"演員",1
"漸漸",1
"生きていたんだよな",1
"百年樹木",1
"耳朵",1
"言不由衷",1
"說散就散",1
"貴方解剖純愛歌〜死ね〜",1
"追光者 - 電視劇夏至未至插曲",1
"連名帶姓",1
"那一夜",1
"那些你很冒險的夢",1
"青と夏",1
"鱗(うろこ)",1
"龍舌蘭",1
